text,clean_text,sentiment
"Download, Bandhan Bank Limited for the Quarter and Financial Year ...","download, bandhan bank limited for the quarter and financial year ...",neutral
Good service .Today I visit hundai service center bundelakhnd Hyundai,good service .today i visit hundai service center bundelakhnd hyundai,positive
Worst app really after loan complete Still deducted amount next month,worst app really after loan complete still deducted amount next month,negative
#Tata altronz or #Hyundai i20 which one is good .Any suggestions pls..,tata altronz or hyundai i 10 which one is good .any suggestions pls..,neutral
@Dream11 i have placed 100RS asa instant withdrawal but it still not credited?,i have placed 10 rs asa instant withdrawal but it still not credited?,neutral
@HyundaiIndia your service center at balotra can't repair a minor demage in car ?,your service center at balotra can not repair a minor demage in car ?,negative
"#BANDHANBANK

BEAR FLAG WITHIN A MASSIVE BEAR FLAG

BREAKDOWN BELOW 320 https://t.co/BZtx8cpv8q",band han bank bear flag within a massive bear flag breakdown below 10,neutral
"Can happen only with our Prime 🤗🙂♥️🔥
Join Telegram 👇👇👇
https://t.co/HYAEoiuuzf

@Dream11 #dream11
@peeyushsharmaa @Lokendr_123 @pmch_vikash https://t.co/moYApMRWKZ",can happen only with our prime 🤗🙂♥️🔥 join telegram 👇👇👇 dream 10,neutral
@Bishnoitigers29 @Dream11 @MyTeam_11 @MplFantasy @mycircle @JoriwalPawan @Pralays11 @AnandGupt4 @nikhil619_ Same on you @Dream11 pls understand our feelings pls change price distribution,same on you pls understand our feelings pls change price distribution,neutral
"Overall good experience with hemkund hyundai 
#HyundaiIndia 
#HyundaiLCM",overall good experience with hemkund hyundai hyundai india hyundai lcm,positive
#hyundai india @divine hyundai vapi I'll regularly get regularly service good,hyundai india hyundai vapi i will regularly get regularly service good,positive
@mufaddal_vohra two minutea silence for those who made rahul their captain in dream 11,two minutea silence for those who made rahul their captain in dream 10,neutral
@Amit62653506 @Dream11 Pls cancel or we will switch to other apps..seriously this is cheating,pls cancel or we will switch to other apps..seriously this is cheating,negative
@Dream11 I just joined a contest but it does not full full plz return the money https://t.co/2Jyr7JVM6O,i just joined a contest but it does not full full plz return the money,negative
@Dream11 @MyTeam_11 Please Add This Womens Australia W League Match #Dream11 #Myteam11 😁 https://t.co/vxiqbldQ53,please add this womens australia w league match dream 10 my team 10 😁,neutral
"The winner of the 2021 CNB Compact SUV of the year is the #Hyundai #Creta. #cnbawards @HyundaiIndia 
https://t.co/0LF96QmYL9",the winner of the 10 cnb compact suv of the year is the hyundai creta.,positive
"@RBI @RBIsays @ShaktikantaRBI @nsitharaman @nsitharamanoffc PLEASE LOAN RESTRUCTURING ONE YEARS, PLEASE HELP MIDDLE CLASS FAMILY,,","please loan restructuring one years, please help middle class family,,",neutral
Currently I'm working in ur BU b/t I want to join in other department.,currently i am working in ur bu b t i want to join in other department.,neutral
Thanks for this and plesae do take care of your staff in this situation,thanks for this and plesae do take care of your staff in this situation,positive
"Excellent service.
Quite happy with the staff Saraighat Hyundai adabari",excellent service. quite happy with the staff saraighat hyundai adabari,positive
Deep hyundai Mangolpuri workshop is very good I m satisfied with work..,deep hyundai mangolpuri workshop is very good i m satisfied with work..,positive
"Hyundai India Excillent service for Ashok hyundai Yamuna vihar delhi 
..",hyundai india excillent service for ashok hyundai yamuna vihar delhi ..,positive
"Ipl 2020 dream11
Ipl 2021 vivo

So buycott China is just a political thing.",ipl 10 dream 10 ipl 10 vivo so buycott china is just a political thing.,neutral
@hyundaiindia my experience is very great with shine hyundai very fast service centre,my experience is very great with shine hyundai very fast service centre,positive
@Dream11 #2776240 ...I am continuously writing ..But still it has not been resolved ..,10 ...i am continuously writing ..but still it has not been resolved ..,negative
"Third Umpire today 🌝😆
#ENGvIND #INDvsENG #Dream11 #cricketer #Cricket https://t.co/abvJjDCh51",third umpire today 🌝😆 eng vin d in dvs eng dream 10 cricketer cricket,neutral
ATH vs EIB — DREAM11/MYFAB11 FANTASY TIPS TRICKS AND PREVIEW/PREDICTION– https://t.co/NYMwunmkrB,ath vs eib dream 10 myfab 10 fantasy tips tricks and preview prediction,neutral
Hyundai India very good performance for sas Hyundai can't road Lucknow,hyundai india very good performance for sas hyundai can not road lucknow,positive
i have many time apply for bandhan bank job but bank no responce i to do,i have many time apply for bandhan bank job but bank no responce i to do,negative
Today I visited at raja Hyundai sirsa good experience raja hyundai sirsa,today i visited at raja hyundai sirsa good experience raja hyundai sirsa,positive
"Thanks GT HYUNDAI karur COMMUNICATION is whenever good.
Best in service.",thanks gt hyundai karur communication is whenever good. best in service.,positive
Kun Hyundai karmanghat good service and good experience good technicians,kun hyundai karmanghat good service and good experience good technicians,positive
@ hyundai india I am visit professional hyundai sector 52 great experience,hyundai india i am visit professional hyundai sector 10 great experience,positive
Jain's cars vellore - India car service is so good. Great job and keep it up,jain cars vellore india car service is so good. great job and keep it up,positive
@Hyundai india #borah hyundai tinsukia new workshop best experience and good work,india bora h hyundai tinsukia new workshop best experience and good work,positive
"Great service provide by himgiri Hyundai gurgaon sector 34.
@HyundaiIndia
#HyundaiLCM",great service provide by himgiri hyundai gurgaon sector 10 . hyundai lcm,positive
@hyundaiindia i visited arise hyundai sgr today excellent service with low cost repair,i visited arise hyundai sgr today excellent service with low cost repair,positive
"Dinamo Moskva vs Spartak Moskva prediction, DYM vs SPK Dream11 -03 13 2021 https://t.co/tkeeYZ3d7x","dinamo moskva vs spartak moskva prediction, dym vs spk dream 10 10 10 10",neutral
@Dream11 i joined GL in ECS T10.but there is no ECS t10 match in live matches. https://t.co/IcUB9QhTvO,i joined gl in ecs t 10 .but there is no ecs t 10 match in live matches.,neutral
@BLACKCAPS @Dream11 New Zealand women's cricket team poor bating order and poor captain.......@blackcaps,new zealand women cricket team poor bating order and poor captain.......,negative
"There have been other cases like this as well especially in North India. @HyundaiIndia @Hyundai_Global 

https://t.co/StBM5zEUOs https://t.co/akzwErqfte",there have been other cases like this as well especially in north india.,neutral
"I have been using this Eon since 2012 .Excellent service from MGF Desom...
@HyundaiIndia https://scontent.fccj2-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/154786805_459642781881422_1880790802157383682_o.jpg?_nc_cat=109&ccb=3&_nc_sid=1480c5&_nc_ohc=R2Hsp49v9rMAX9RAkm0&_nc_ad=z-m&_nc_cid=1174&_nc_ht=scontent.fccj2-1.fna&tp=14&_nc_rmd=260&oh=66c4efe6e9d18de0851aae76cfab61ad&oe=6061E1F4",i have been using this eon since 10 .excellent service from mgf desom...,positive
What about tamilnadu dream11 guys any chance to play dream11 pls update,what about tamilnadu dream 10 guys any chance to play dream 10 pls update,neutral
Dream11 pls add cash bonus offer as there is India vs England test match,dream 10 pls add cash bonus offer as there is india vs england test match,neutral
"Excellent service department at Hemkund Hyundai
#HyundaiIndia
#HyundaiLCM",excellent service department at hemkund hyundai hyundai india hyundai lcm,positive
Overall work is good behavior is to good thank you fortune hyundai meerut,overall work is good behavior is to good thank you fortune hyundai meerut,positive
Today visit in ujjawal hyundai...All work done properly..excellent sarvi.,today visit in ujjawal hyundai...all work done properly..excellent sarvi.,positive
IN-W VS SA-W–DREAM11/MYFAB11 FANTASY TIPS TRICKS AND PREVIEW/PREDICTION– https://t.co/Ku7yL6SdrN,in w vs sa w dream 10 myfab 10 fantasy tips tricks and preview prediction,neutral
"#NZvsAUS #Cricket 

NZ - 59/2 (6 Overs)

Martin Guptill (37) Devon Conway (7) 

Watch Live ⤵️ https://t.co/lJ4RxxiYCE",cricket nz 10 10 10 overs martin guptill 10 devon conway 10 watch live ⤵️,neutral
Hyundai India Hyundai Soham Hyundai Service Centre good service nice staff,hyundai india hyundai soham hyundai service centre good service nice staff,positive
#bandhanbank will it touch 350 by next week. Looks like ready to blast up.,band han bank will it touch 10 by next week. looks like ready to blast up.,neutral
"I visit hyundai Dev bhumi mandi vry sincare, docile, and honest family....","i visit hyundai dev bhumi mandi vry sincare, docile, and honest family....",positive
RT @Prat1k_: Roy gave me valuable points in Dream11 for Jordan's effort. My GOAT 😂🐐,rt roy gave me valuable points in dream 10 for jordan effort. my goat 😂🐐,neutral
@Nageshshidling7 @Dream11 Yes same here. I was unable to join the contest. I kept trying for 15 mins,yes same here. i was unable to join the contest. i kept trying for 10 mins,neutral
@FoodieOdia @MaggiIndia My favorite quick snack Atta Noodles. I like Tom Ramen's atta noodles though,my favorite quick snack atta noodles. i like tom ramen atta noodles though,positive
RT @ManojKu46746495: @Dream11 Now I am mailed to helpdesk dream11 so I am waiting refund immediately https://t.co/wjIUWT4nXf,rt now i am mailed to helpdesk dream 10 so i am waiting refund immediately,neutral
#hanshyundaibodyshopzakhira all are so cooperative thanks zakhira team,hans hyundai body shop zak hir a all are so cooperative thanks zakhira team,positive
Hyundai India i visited bhurawala Hyundai himatnagar in my car service good,hyundai india i visited bhurawala hyundai himatnagar in my car service good,positive
Good service kj Hyundai dvg and explain each and everything neat and clear.,good service kj hyundai dvg and explain each and everything neat and clear.,positive
That it! i going back 2010 toGoing time machine!! Bye 2021 no more get out here,that it! i going back 10 togoing time machine!! bye 10 no more get out here,neutral
Hyundai India great people to deal with enthusiastic staff and good service @downtownhyundai,hyundai india great people to deal with enthusiastic staff and good service,positive
@scribe_prashant New update 220 per liter. If you want pure mustard oil in front of yourself.,new update 10 per liter. if you want pure mustard oil in front of yourself.,neutral
RT @pkumarkndey: @Dream11 cancell the ireland vs Bangladesh A match bcause they show wrong line up,rt cancell the ireland vs bangladesh a match bcause they show wrong line up,negative
"Check out how to make it and add some sweetness to your day!

#healthyrecipe

https://t.co/5qxOh26k1c",check out how to make it and add some sweetness to your day! healthy recipe,neutral
Mandi rating: Mustard Dadri oil rate goes up 1600 and Dana price goes up Rs 750 https://t.co/HHSecFW3yG,mandi rating mustard dadri oil rate goes up 10 and dana price goes up rs 10,neutral
"How Global Health and Wealth Has Changed Over Two Centuries 
#GDP #economy #Oil https://t.co/HY4cwsfxGm",how global health and wealth has changed over two centuries gdp economy oil,neutral
@HyundaiIndia No contact from ur concerned team... @HyundaiIndia this is your response.. very good 😕😕,no contact from ur concerned team... this is your response.. very good 😕😕,negative
"DiSano Extra Virgin Olive Oil, First Cold Pressed, (2 x 1L) 

at Rs.1099

Link : https://t.co/UuaasXEAjy","disano extra virgin olive oil, first cold pressed, 10 x 10 l at rs. 10 link",neutral
"@PurtiIndia Chicken Hot Dog 

#Purti #Oil #Tasty #Healthy #ContestOfTheWeek #contestgiveaway @PurtiIndia

join
@Chhayadhamecha @Racer_Veb @prashanth_geeky @itsazeena @PinkyDholakia @3Madhvi @Chinnarayudu98 @fotokiran",chicken hot dog oil tasty healthy contest of the week contest giveaway join,neutral
I want 72*66*5 bamboo mattress protector. Is it available. And what is cost,i want 10 10 10 bamboo mattress protector. is it available. and what is cost,neutral
Davinder Sachdeva Sachdeva send me your contact no.fir best sexual treatment,davinder sachdeva sachdeva send me your contact no.fir best sexual treatment,neutral
Do you have clinic in sriganganagar rajsthan sir if then please tell address,do you have clinic in sriganganagar rajsthan sir if then please tell address,neutral
"@urmilpatel30 Because of work or because of match🙄
Time par soya Kar. Not good for health",because of work or because of match🙄 time par soya kar. not good for health,negative
RT @bandhanbank_in: Let's act responsibly before it's too late. #EarthDay #RestoreOurEarth https://t.co/uQF5eFPKBl,rt let us act responsibly before it is too late. earth day restore our earth,neutral
Nice advisor Naveen sir good service with good team at cheap rate must visit @HyundaiLCM @HyundaiIndia @NoidaDreamHyundai,nice advisor naveen sir good service with good team at cheap rate must visit,positive
"@TataMotors @MahindraScorpio @HyundaiIndia @Maruti_Corp @ToyotaMotorCorp @royalenfield 

When will we see payment for buying vehicles available in Bitcoin, in India? 
@NischalShetty @cryptokanoon","when will we see payment for buying vehicles available in bitcoin, in india?",neutral
"#HyundaiIndia Best service by Riya hyundai, Patan. Cooperative service staff.","hyundai india best service by riya hyundai, patan. cooperative service staff.",positive
Hyundai India good service provider in gandhinagar punjab Hyundai gandhinagar,hyundai india good service provider in gandhinagar punjab hyundai gandhinagar,positive
My kun Hyundai service centre is best service centre tecnition also very good,my kun hyundai service centre is best service centre tecnition also very good,positive
@hyundaiindia I visited arise Hyundai Srinagar today excellent service with low cost repair,i visited arise hyundai srinagar today excellent service with low cost repair,positive
"why aren’t we talking about this?! 
#price rise of mustard oil
# covid19 crisis https://t.co/sSVBdhkV7y",why are not we talking about this?! price rise of mustard oil covid 10 crisis,neutral
"Sir please slove my problem tomorrow will be my match #INDvENG #t20
#dream11 
@Dream11 
@Dream11 https://t.co/9lYQ7nCQli",sir please slove my problem tomorrow will be my match ind ven g t 10 dream 10,negative
Thanks to durga hyundai coochbehar service team for excellence service support,thanks to durga hyundai coochbehar service team for excellence service support,positive
Congratulations you deserve it.brigade one of the finest builder of Bangalore.,congratulations you deserve it.brigade one of the finest builder of bangalore.,positive
India and England are all set to meet each other in the first T20I | NewsBytes,india and england are all set to meet each other in the first t 10 i newsbytes,neutral
"Good service from Popular Hyundai Tirur
Good customer service 
Low service cost",good service from popular hyundai tirur good customer service low service cost,positive
Sir mane apply kia to kyc ki 125076 pin code not serviceable area bta raha hai sir,sir mane apply kia to kyc ki 10 pin code not serviceable area bta raha hai sir,negative
@Dream11Pro3 fack screen shot this account very cheat account dont invesment dream11 pro,fack screen shot this account very cheat account do not invesment dream 10 pro,negative
Apply to Mis Executive // Bandhan Bank // 7890017987 Jobs In Kolkata at Smit Corporate Ltd on intellijobs.ai.,apply to mis executive bandhan bank jobs in kolkata at smit corporate ltd on .,neutral
"Sure, Kindly allow me this week. I l confirm you. I am traveling at the moment.","sure, kindly allow me this week. i l confirm you. i am traveling at the moment.",neutral
Excellent service in ecil Hyundai and very reasonable prices Kun United Hyundai,excellent service in ecil hyundai and very reasonable prices kun united hyundai,positive
Amazing Fragnance Soap and also the tenderness is soothing100% Ayurvedic Effects,amazing fragnance soap and also the tenderness is soothing 10 ayurvedic effects,positive
#HyndaiIndia Excellent service done by #Arora hyundai team. I recommend Arora Hyundai.,hyndai india excellent service done by hyundai team. i recommend arora hyundai.,positive
"Crystal Palace vs West Bromwich Albion prediction, CRY vs WBA Dream11 -03 13 2021 https://t.co/Zk117M9vl4","crystal palace vs west bromwich albion prediction, cry vs wba dream 10 10 10 10",neutral
And after that do you give guarantee not call multiple times a day and harras me,and after that do you give guarantee not call multiple times a day and harras me,negative
@hyundai india today im visit kosmo bye pass excellent service and simpler staff nature,india today i am visit kosmo bye pass excellent service and simpler staff nature,positive
@Dream11 I field at that area where balls come late....or rare chance to cone....😁😁😁😁,i field at that area where balls come late....or rare chance to cone....😁😁😁😁,neutral
@hyundai indai today I visited sasya hyundai service knr good service and intime delivery,indai today i visited sasya hyundai service knr good service and intime delivery,positive
@PriyabrataT Non veg dishes in Mustard oil... Veg items in Desi Ghee.. humara trademark style,non veg dishes in mustard oil... veg items in desi ghee.. humara trademark style,neutral
Follow me on Dream11 & check out my latest updates! Tap https://t.co/FIEV9ZoCMb to head to my profile now,follow me on dream 10 check out my latest updates! tap to head to my profile now,neutral
"Purchase BANDHAN BANK 100 share @345 
Suggest what to do ??
#AskAwaazcash
#askawaazfno
@NeerajCNBC 
@CNBC_Awaaz",purchase bandhan bank 10 share suggest what to do ?? ask awaazcash ask awaaz fno,neutral
@HyundaiIndia @EconomicTimes #HyundaiALCAZAR is underpowered. Same engine as creta and 7 seater. I don't think it will work,is underpowered. same engine as creta and 10 seater. i do not think it will work,negative
Hyundai India novelty Hyundai Taylor road centre good experience and good service,hyundai india novelty hyundai taylor road centre good experience and good service,positive
How long it will take to get uninterrupted sleep after drinking this milk daily??,how long it will take to get uninterrupted sleep after drinking this milk daily??,neutral
"@JivaAyurveda #ContestAlert #AyurvedaAndYou

Science gives you well-being through jiva ayurveda",contest alert ayurveda and you science gives you well being through jiva ayurveda,neutral
"@venkat_reddy222 Bro..chinna suggestion.
Dream 11 assalu aadaku.
Dani mida betting 1000times better",bro..chinna suggestion. dream 10 assalu aadaku. dani mida betting 10 times better,positive
"Uzbekistan, Hungary sign agreement for sunflower oil production in Jizzakh region https://t.co/u8dHIqf1xk","uzbekistan, hungary sign agreement for sunflower oil production in jizzakh region",neutral
@SouravS14367431 @bandhanbank_in @SouravS14367431 what is your complaint amd give me your rwgister number i will solve your problem,what is your complaint amd give me your rwgister number i will solve your problem,neutral
kj hyundai dvg delightfull experience for service ..service staffs are very good .,kj hyundai dvg delightfull experience for service ..service staffs are very good .,positive
Hyundai India Rock staff and well behavior with best service Vishal Hyundai Panvel,hyundai india rock staff and well behavior with best service vishal hyundai panvel,positive
i visite alfa hundai service center staff are very kind good service and copretive,i visite alfa hundai service center staff are very kind good service and copretive,positive
"Hyundai India good experience
Satisfied with service of devika hyundai udhampur...",hyundai india good experience satisfied with service of devika hyundai udhampur...,positive
Hyundai India very excellent service & staff Goyal Hyundai Kapurthala road Jalandhar,hyundai india very excellent service staff goyal hyundai kapurthala road jalandhar,positive
Rudra Singh call at 9999185134 par try for ayurvedic medicine we supply from gurgaon haryana.,rudra singh call at par try for ayurvedic medicine we supply from gurgaon haryana.,neutral
@HomeCredit_In 6month you are not understand 2 month salary not 3 times Corona 19 not tell me,10 month you are not understand 10 month salary not 10 times corona 10 not tell me,negative
India (IND) Vs England (ENG) On Dream11.Won The Match And Mega Clean Sweep Guy's 😆😅. https://t.co/JdHXue2roz,india ind vs england eng on dream 10 .won the match and mega clean sweep guy 😆😅.,neutral
"@navinku82725038 @bandhanbank_in @RBI @canarabank Even if u provide correct details, they flash that any INFORMATION is Incorrect.","even if you provide correct details, they flash that any information is incorrect.",neutral
KING KOHLI👑💯❤❤#viratkohli #viralpost #viratreels #dream11 #virat #cricket #india,king kohli👑💯❤❤vir at kohl i viral post vir at reels dream 10 vir at cricket india,neutral
Hyundai India very good service for yasodha Hyundai my 1st experience is very good,hyundai india very good service for yasodha hyundai my 10 st experience is very good,positive
Hyundai india Today I visited hyundai service center I m very satisfied for service.,hyundai india today i visited hyundai service center i m very satisfied for service.,positive
Ashva hyundai service very well nice handling. I am so happy with share my feedback.,ashva hyundai service very well nice handling. i am so happy with share my feedback.,positive
I am fully satisfied with sunrise service great experience sunrise hyundai I. P extn,i am fully satisfied with sunrise service great experience sunrise hyundai i. p extn,positive
Good service in paras Hyundai sgnr all staff all good and rsnoble charges I am happy,good service in paras hyundai sgnr all staff all good and rsnoble charges i am happy,positive
Hyundai India vishal hyundai panvel...good service experince nd also staff is good😊,hyundai india vishal hyundai panvel...good service experince nd also staff is good😊,positive
@Hyundai india.. today i visit modi Hyundai Bhandup work shop . I totally satisfied this work,india.. today i visit modi hyundai bhandup work shop . i totally satisfied this work,positive
@CarelessVik Can consider playing on multiple platforms alongside Dream11 if your budget allows.,can consider playing on multiple platforms alongside dream 10 if your budget allows.,neutral
Roasted gram salt coriander - grind2 paste..season it..oil mustard curry leaf urid..!,roasted gram salt coriander grind 10 paste..season it..oil mustard curry leaf urid..!,neutral
#hyundaiindia today i visit for a car service brar Hyundai muktsar best service point,hyundai india today i visit for a car service brar hyundai muktsar best service point,positive
was it not the same zulu that murdered our forefathers. smashing babies to the rocks.,was it not the same zulu that murdered our forefathers. smashing babies to the rocks.,negative
"Losss and losss and losss... No profit here ...

Dimag ka khel h

But dreams 11 ka dimag😂",loss and loss and loss... no profit here ... dimag ka khel h but dreams 10 ka dimag😂,negative
@DimpledJalebi Good for the health right that oil fried items has not been used for 6 months rt? 🙂,good for the health right that oil fried items has not been used for 10 months rt? 🙂,neutral
"Today's I'm going at jmv Hyundai Bhiwadi 
We got good service thank u jmv Hyundai and @hyundaiindia",today i am going at jmv hyundai bhiwadi we got good service thank you jmv hyundai and,positive
This is a losing XI... for @BCCI .. I don't know what @imVkohli is thinking all about 🙏🙏🤦‍♂️🤦‍♂️,this is a losing xi... for .. i do not know what is thinking all about 🙏🙏🤦‍♂️🤦‍♂️,negative
Watch: Make Crispy Atta Mathri With This Quick And Easy Recipe And Store For 2 Months https://t.co/xYTRZN6qAC,watch make crispy atta mathri with this quick and easy recipe and store for 10 months,positive
"FRESH music by Tom Lawrence WAVE YOUR FLAG 
click like to download www.facebook.com/itstomlawrence 
~
#Dance #countrymusic",fresh music by tom lawrence wave your flag click like to download dance country music,neutral
"RT @Vrushab007: #suryakumar
To virat Ham Hay 😎
Aap Dream eleven Pe Jake Team 
Banao😂
#INDvENG #INDvsENG_2021 https://t.co/iKfpsj4BeS",rt surya kumar to virat ham hay 😎 aap dream eleven pe jake team banao😂 ind ven g 10,neutral
"2nf T20 IND vs ENG👇GL TEAM
https://t.co/OVNCr7NYWX
Join Telegram For Free Team👇
https://t.co/MmW8ttA2gg
Or search On telegram @win9547..",10 nf t 10 ind vs eng👇gl team join telegram for free team👇 or search on telegram ..,neutral
@sidpatankar @HyundaiIndia @KiaMotorsIN @Nissan_India @royalenfield @MGMotorIn @TataMotors @atherenergy Instrument cluster could have been added. It is truly revolutionary for a 2 wheeler.,instrument cluster could have been added. it is truly revolutionary for a 10 wheeler.,positive
have You invested in Bandhan Bank Share.? Wanna Ask Something Please comment Below.?,have you invested in bandhan bank share.? want to ask something please comment below.?,neutral
Hai rahim munna my vechicle service done in sai swarna Hyundai good service good staff,hai rahim munna my vechicle service done in sai swarna hyundai good service good staff,positive
Last time I visit FPL hyundai Guduvanchery branch for service. Very good experience 🥰,last time i visit fpl hyundai guduvanchery branch for service. very good experience 🥰,positive
"Hope & waiting for that 71st century 💯 Will get in ODI series 🤘 @imVkohli
#INDvENG #ViratKohli",hope waiting for that 10 st century 💯 will get in odi series 🤘 ind ven g virat kohli,positive
this company is fraud. and misuse your personal information. beware of it . vikas Arya @ 7015622570,this company is fraud. and misuse your personal information. beware of it . vikas arya,negative
@hyundaiindia Brars hyundai moga👍 service very good & very polite staff i really satisfied thanck you,brars hyundai moga👍 service very good very polite staff i really satisfied thanck you,positive
"@srivatsayb Nirmala ji says I don't use LPG and 
She uses water for cooking ( no oil )
Good for health",nirmala ji says i do not use lpg and she uses water for cooking no oil good for health,neutral
Apply to Bandhan Bank || 10th/12th Pass|| Voice Process || Bpo at DMI INTERNATIONAL LLP on intellijobs.ai.,apply to bandhan bank 10 th 10 th pass voice process bpo at dmi international llp on .,neutral
"🔥🔥🔥🔥🔥🔥

#i20n #hyundaii20n #nperformance #i20 #hyundain #hyundai #i20lovers #nperformancehub #nthusiast",🔥🔥🔥🔥🔥🔥 i 10 n hyundai i 10 n i 10 hyundai n hyundai i 10 lovers hub nth usi as t,neutral
Change ur system to old GL types or be ready to face mass boycott from precious users. @peeyushsharmaa @cricketgeekhere @singhsushil171 @V2kool @Mohnish_Shukla @DollorzNPoundz @messimagicd11 @DreamSportsHQ @oyepick @cricketgeekhere @Dream11 @shubhamallstars @sindbadsailor_R,change ur system to old gl types or be ready to face mass boycott from precious users.,neutral
Excellent service in kun united Hyundai ecil and very much satisfied with their service,excellent service in kun united hyundai ecil and very much satisfied with their service,positive
Hyundai India today I visit to arun Hyundai dausa good experience and all staff is nice,hyundai india today i visit to arun hyundai dausa good experience and all staff is nice,positive
"BandhanBank 
VGuard 
HCLTECH 
#INTRADAY 
First 15 minutes candle
Breakout/Breakdown
20-04-2021",bandhanbank vguard hcltech intraday first 10 minutes candle breakout breakdown 10 10 10,neutral
@Dream11 plzzz cancel all contests because wrong line up is provided by u in BD A vs IR A match,play cancel all contests because wrong line up is provided by you in bd a vs ir a match,neutral
"@Hyundai india
I visit to Riya hyundai deesa there staff is doing good work thank you riya deesa",india i visit to riya hyundai deesa there staff is doing good work thank you riya deesa,positive
@hyundaiIndia Nawanshahr today I visited staff is very good.price is reasonable.staff are so caring .,nawanshahr today i visited staff is very good.price is reasonable.staff are so caring .,positive
UFA (UFA) Vs Locomotiv Moscow (LOK) On Dream11.Won The Match And Ultra Clean Sweep Guy's 😅 https://t.co/7b0xLVaDU3,ufa ufa vs locomotiv moscow lok on dream 10 .won the match and ultra clean sweep guy 😅,positive
Thanks for your prompt response. I will contact my daughter overseas n come back to you.,thanks for your prompt response. i will contact my daughter overseas n come back to you.,positive
wonderful experience in capital hyundai Sec-63 Noida....well assisted by Mr. Vinod Kumar,wonderful experience in capital hyundai sec 10 noida....well assisted by mr. vinod kumar,positive
"Good Receiving, Promised time delivered vehicle, thank you Lakshmi Hyundai Rajahmundry..","good receiving, promised time delivered vehicle, thank you lakshmi hyundai rajahmundry..",positive
"Never apologise for being yourself
.
.
.
.
.
#photooftheday #beingyourself #i20 #phoenix",never apologise for being yourself . . . . . photo of the day being yourself i 10 phoenix,neutral
Any treatment to cure the knee joints where cartilage has been deteriorated. Please reply,any treatment to cure the knee joints where cartilage has been deteriorated. please reply,neutral
Good information From arun pandi about HMM APP.and good service... Tq gt hyundai dindigul,good information from arun pandi about hmm app.and good service... tq gt hyundai dindigul,positive
In Deora Hyundai Pali excellent service provided by team Hyundai India Deora Hyundai Pali,in deora hyundai pali excellent service provided by team hyundai india deora hyundai pali,positive
आप का नाम Anurag dwivedi nahi (MATCH PREDICTION..MAN😍) hona chahiye....we Love you guru g.,आप का नाम anurag dwivedi nahi match prediction..man😍 hona chahiye....we love you guru g.,positive
We appreciate the opportunity to serve you with the best Hyundai India # Hyundai LCM Videos,we appreciate the opportunity to serve you with the best hyundai india hyundai lcm videos,positive
"Dear past thank you for the lessons. Dear future, i'm ready. #i20 #car #blue #1513 #asta #love","dear past thank you for the lessons. dear future, i am ready. i 10 car blue 10 ast a love",positive
@Dream11 qun vs Vic match has been drawn why u abandoned in dream 11 not given winnings money???,qun vs vic match has been drawn why you abandoned in dream 10 not given winnings money???,negative
@HyundaiIndia don’t buy Hyundai car that people will fuck ur saving money and they are doing duplicacy,do not buy hyundai car that people will fuck ur saving money and they are doing duplicacy,negative
"RT @dinesh11mdc: ALMOST DREAM TEAM 👼 

Follow our new channel @dinesh11_mdc
For teams and tips 🔥💫

#ALeague #Dream11 https://t.co/1tEW8vXvjJ",rt almost dream team 👼 follow our new channel for teams and tips 🔥💫 ale agu e dream 10,neutral
"Sachin tendulkar around,67run
Virendra sehwag,around,50run
Yuvraj singh around,47run","sachin tendulkar around, 10 run virendra sehwag,around, 10 run yuvraj singh around, 10 run",neutral
Services at Alcon Hyundai porvorim were so reasonable. Worth every penny.... Hyundai India,services at alcon hyundai porvorim were so reasonable. worth every penny.... hyundai india,positive
Hyundai India good service and care from popular Hyundai Thrissur.. thnkuu for the support,hyundai india good service and care from popular hyundai thrissur.. thnkuu for the support,positive
Good service given by lakshmi hyndai rajahmundry and special thanks to A V prabha kumar ❤️,good service given by lakshmi hyndai rajahmundry and special thanks to a v prabha kumar ❤️,positive
La Liga action is back once again with a number of key fixtures lined up over the weekend.,la liga action is back once again with a number of key fixtures lined up over the weekend.,neutral
HIS VS PAK--FanCode ECS T10 BARCELONA---DREAM11/MYFAB11 FANTASY TIPS TRICKS AND PREDICTION--,his vs pak fancode ecs t 10 barcelona dream 10 myfab 10 fantasy tips tricks and prediction,neutral
Hyundai India i have a visited to @orange Hyundai amreli good service best staff low maintenance..,hyundai india i have a visited to hyundai amreli good service best staff low maintenance..,positive
@RajarshitaS Happy to see this analysis... #bandhanbank already in my portal since couple of months...,happy to see this analysis... band han bank already in my portal since couple of months...,positive
@HyundaiIndia thank you so much Am Hyundai Jammu for your good service.delight with over all experience.,thank you so much am hyundai jammu for your good service.delight with over all experience.,positive
"I visited @NoidaDream for Service, Excellent Experience, skilled Staff in Reasonable Cost. 
*@HyundaiIndia #HyundaiLCM*","i visited for service, excellent experience, skilled staff in reasonable cost. hyundai lcm",positive
"@siddarthpaim Please look at how safe the cars of @HyundaiIndia @Hyundai_Global are.

Centerlock system breached in no time by thieves.

https://t.co/Ps33w0pkD3",please look at how safe the cars of are. centerlock system breached in no time by thieves.,neutral
